"observable","observations","rmse_annual_pp","mae_annual_pp","correlation"
"headline_cpi",693,1.70585373720913,1.25811807077515,0.924180682448727
"headline_cpi_12m",673,0.893043596229758,0.694294713444135,0.951161102174041
"ptr",230,0.810091332374063,0.536745150971249,0.956324037159627
"cpi_forecast_1y",181,0.928068917352625,0.568959499219269,0.94119890817024
"cpi_forecast_10y",140,0.203688081615966,0.155119971635589,0.900711208251624
"tbill_forecast_1y",181,0.453555386016185,0.341311259466091,0.989265441015638
"tbill_forecast_10y",35,0.335204860981341,0.275810239192695,0.948998884499652
"nominal_yield_3m",694,0.0466781030453631,0.0344026529653941,0.999903086448265
"nominal_yield_12m",695,0.0801088962525628,0.0595860657069955,0.999739793595597
"nominal_yield_24m",695,0.0339415752982545,0.025950922991218,0.999960200878483
"nominal_yield_36m",695,0.0450330271260107,0.0328305321956217,0.999911912424419
"nominal_yield_60m",695,0.0504842813513802,0.0394724365314415,0.999875175411245
"nominal_yield_84m",695,0.0336444979479567,0.0271424737688828,0.999946062706395
"nominal_yield_120m",661,0.0633831843227534,0.050918927675326,0.999779692012292
"real_yield_24m",332,0.377543483097759,0.201870795920977,0.97446469465481
"real_yield_60m",332,0.230257595960415,0.134191494017807,0.989995337546953
"real_yield_84m",332,0.188855693181922,0.10856440185324,0.992842537549168
"real_yield_120m",660,0.24895943608063,0.176602894814505,0.978033694759996
