"state","survey_release","observations","median_abs_change","p95_abs_change","maximum_abs_change"
"r_star",FALSE,513,0.0938971508573688,0.397595090100633,1.41243273236968
"r_star",TRUE,181,0.140779702606757,0.458307410248105,0.861403043396112
"pi_star",FALSE,513,0.0945345738516366,0.3664057988966,1.11853890595762
"pi_star",TRUE,181,0.122165441085641,0.503064604934155,1.09017922572842
"m",FALSE,513,0.196975002788094,0.926551163881204,4.63227777698681
"m",TRUE,181,0.231042491377592,0.953670714454244,2.13489188979795
"pi_gap",FALSE,513,0.294454478597465,1.2472797330414,3.46993232382978
"pi_gap",TRUE,181,0.299811189915421,1.3363174389277,3.31685891547991
"u",FALSE,513,0.644053045410163,2.48171243826452,7.3760536450297
"u",TRUE,181,0.658051155716637,2.48503131051222,3.31431629693767
"w",FALSE,513,0.187218110202064,0.726727583654594,1.57618476112646
"w",TRUE,181,0.221332949162957,0.841299633968517,1.45337390655293
