"regime","series","unit","filter_ekf","bias_ekf","rmse_ekf","mae_ekf","average_sd_ekf","coverage_68_ekf","coverage_95_ekf","binding_fraction_ekf","loglik_per_month_ekf","runtime_seconds_ekf","iteration_fraction_ekf","bias_mc_sd_ekf","rmse_mc_sd_ekf","mae_mc_sd_ekf","average_sd_mc_sd_ekf","coverage_68_mc_sd_ekf","coverage_95_mc_sd_ekf","binding_fraction_mc_sd_ekf","loglik_per_month_mc_sd_ekf","runtime_seconds_mc_sd_ekf","iteration_fraction_mc_sd_ekf","filter_iekf","bias_iekf","rmse_iekf","mae_iekf","average_sd_iekf","coverage_68_iekf","coverage_95_iekf","binding_fraction_iekf","loglik_per_month_iekf","runtime_seconds_iekf","iteration_fraction_iekf","bias_mc_sd_iekf","rmse_mc_sd_iekf","mae_mc_sd_iekf","average_sd_mc_sd_iekf","coverage_68_mc_sd_iekf","coverage_95_mc_sd_iekf","binding_fraction_mc_sd_iekf","loglik_per_month_mc_sd_iekf","runtime_seconds_mc_sd_iekf","iteration_fraction_mc_sd_iekf","rmse_ratio_iekf_to_ekf","coverage_95_difference"
"all","m","percentage points","EKF",0.0487008843523016,0.232959982219015,0.140103226167251,0.147310700692815,0.649021582733813,0.919474820143885,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0767986090554147,0.205614076425061,0.116186811006348,0.116588790551387,0.0348683122161336,0.0318667294493841,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.0296569726956972,0.201532549001943,0.126090552152186,0.14941196097391,0.672093525179856,0.943525179856115,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0789813596655092,0.20815037955756,0.111543548105096,0.116940945769825,0.0218756962605984,0.013125391520662,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.865095142445855,0.0240503597122301
"all","pi_gap","percentage points","EKF",-0.00174160835864956,0.97562159120996,0.777649244798282,0.969121553572145,0.677359712230216,0.948834532374101,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0756352195719537,0.0389617997543753,0.0315395761058295,0.00748641988483071,0.0215124737587827,0.010528611251705,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.00377520661225221,0.974310203061151,0.776682379224806,0.9692664970532,0.678143884892086,0.949208633093525,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0754696843947311,0.0386962326272701,0.0311792240400828,0.0075878727495151,0.0215566355831028,0.0107344582382931,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.998655843453421,0.000374100719424453
"all","pi_star","percentage points","EKF",-0.00015121952971685,0.18726034202076,0.122194915734217,0.152844086999025,0.677223021582734,0.949388489208633,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0205291395259475,0.0267862464957819,0.00891559559057014,0.00292562097271006,0.0237384808030751,0.00996283092583121,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.000302279801997609,0.186499931002546,0.121802470500255,0.152904339164576,0.679640287769784,0.950834532374101,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0204512050445042,0.0257726952944671,0.00881598017738635,0.00296108023008245,0.024170023492525,0.009861730259912,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.99593928426057,0.0014460431654677
"all","r_star","percentage points","EKF",0.00828791725092669,0.19159035879842,0.13277356472277,0.164785993901018,0.677035971223022,0.948302158273381,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0215601544127273,0.0303958093861862,0.0160085052399064,0.0164781735691797,0.0241299993133255,0.0104461465417007,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.00375064281857276,0.189537676181322,0.131903832838649,0.164949509690761,0.679971223021583,0.949827338129496,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0206030857636639,0.0270596488058152,0.014892270722886,0.0166754339583204,0.0239458545154012,0.00964541782805908,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.989286086053748,0.00152517985611511
"all","shadow_rate","percentage points","EKF",0.0568375820735114,0.248249678856218,0.142734379113659,0.14497178364497,0.647244604316547,0.917676258992806,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0880915176892683,0.222544565035586,0.12465326294342,0.119344170177457,0.0374058384447492,0.0340704183799261,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.0331053357122723,0.208669267816089,0.126094026834788,0.147410219580565,0.671165467625899,0.943179856115108,0.129093525179856,81.9740626982289,0.129875000000001,1,0.08544915005022,0.218257904012665,0.117183237870711,0.119742583779801,0.0235005133727484,0.0142868977775593,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.840562085628908,0.0255035971223021
"all","u","percentage points","EKF",-0.00264966368380318,1.4065922891499,1.12172566959777,1.4103407927454,0.68268345323741,0.950223021582734,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0597268562177102,0.0375250019447986,0.0313708751097244,0.000858867935736741,0.017368841231959,0.00857638667179773,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.00181807939284053,1.40639334893446,1.12157883289265,1.41035930108759,0.68263309352518,0.950287769784173,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0595964601871832,0.0374145766237808,0.0313541448322284,0.000872376704059817,0.0171855666948655,0.00849552369006413,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.999858565828226,6.47482014387579e-05
"all","w","normalized units","EKF",-0.0167112807130136,0.219981262996589,0.161961273723092,0.190035319892966,0.663302158273381,0.936510791366907,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0293253408251063,0.0900615771995216,0.0568336233736303,0.0583783462837501,0.0271483377890402,0.0165115555422819,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.0103470050609031,0.207814171414387,0.155337947827755,0.191193100627807,0.677294964028777,0.946748201438849,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0242493167029628,0.082258101654448,0.0512253539297527,0.0588297321278208,0.0221045624980121,0.0113157162362589,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.944690327637627,0.0102374100719425
"binding","m","percentage points","EKF",0.29449995413436,0.534163743887525,0.398609593624872,0.300366328061665,0.427239323276975,0.685238398402466,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.139345105735987,0.266460876799961,0.185790958889351,0.213999442578605,0.170324716100695,0.171628766745769,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.130602710697615,0.411663243349054,0.298098566338829,0.332574867569784,0.63448662179552,0.908073862498669,0.129093525179856,81.9740626982289,0.129875000000001,1,0.169307595290825,0.301476303884871,0.202781668044717,0.206341252662723,0.12696576075429,0.07300475445301,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.770668634963993,0.222835464096203
"binding","pi_gap","percentage points","EKF",0.0721150172398103,0.984142028895142,0.806523110986048,0.980144632164144,0.673190932473398,0.942142785709239,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.439842786239709,0.283754714932505,0.278308186346623,0.0354910928695545,0.162204546337658,0.0920155432892484,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.0461216426747312,0.975500712976481,0.799313830770237,0.98192817878871,0.675677598589434,0.93562555510159,0.129093525179856,81.9740626982289,0.129875000000001,1,0.436129395488568,0.282634580642583,0.277127702134053,0.0349371474603748,0.15832316970654,0.11817002254167,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.99121944225026,-0.00651723060764853
"binding","pi_star","percentage points","EKF",0.0275433644898347,0.184666595279787,0.144248115025784,0.167981824385122,0.647810621297568,0.934169174318893,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.140518805500594,0.127617985388467,0.116618648082404,0.122892833467133,0.153357634596039,0.0696863093564984,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.0177771098399097,0.181711958531443,0.14251769914525,0.16902708680031,0.655659843832669,0.945302482669412,0.129093525179856,81.9740626982289,0.129875000000001,1,0.139751811331725,0.124539482442737,0.114458605578205,0.123144448315862,0.150076581114835,0.0660337881534924,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.984000155827495,0.0111333083505192
