"comparison","series","mean_difference","mean_absolute_difference","median_absolute_difference","maximum_absolute_difference"
"IEKF minus EKF","nominal_5y",0.00797194913894325,0.0140571651439529,0.000460371124279657,0.404356625428872
"IEKF minus EKF","nominal_10y",0.00492811941962434,0.00944806763178077,0.000571395664000773,0.280289273976609
"IEKF minus EKF","real_5y",0.00550443462186765,0.0091071454207825,0.000368368224445637,0.26715006578455
"IEKF minus EKF","real_10y",0.00278902425855599,0.00498671766335718,0.000391428407853778,0.156532952177833
"IEKF minus EKF","inflation_5y",0.00247663232809845,0.00513648408717888,0.000151539105348514,0.138946467268976
"IEKF minus EKF","inflation_10y",0.00213609213432912,0.00460404732026769,0.000185147169741495,0.126306422192871
"IEKF minus UKF","nominal_5y",-0.00591373689382409,0.0165734536948723,0.00228620817896885,0.377434316449436
"IEKF minus UKF","nominal_10y",-0.00281301115486382,0.011568484554778,0.00209739356946725,0.425692471811997
"IEKF minus UKF","real_5y",-0.00402161356511627,0.0108146993229411,0.00153637359399617,0.236919121463174
"IEKF minus UKF","real_10y",-0.00126751475978085,0.00637810878237565,0.00139473085951325,0.294238076125291
"IEKF minus UKF","inflation_5y",-0.00189834050811445,0.0059513659529022,0.000737560936305524,0.142384086110241
"IEKF minus UKF","inflation_10y",-0.00152668013220651,0.00536540210164394,0.000762191069403673,0.140920520457074
