"comparison","series","mean_difference","mean_absolute_difference","median_absolute_difference","maximum_absolute_difference"
"IEKF minus EKF","r_star",-0.00137672134481743,0.00444592362867802,0.000670196934423828,0.111360993387229
"IEKF minus EKF","pi_star",-0.00176860451054221,0.00448860868237602,0.000245183780128055,0.165050707092519
"IEKF minus EKF","m",-0.0435872460986243,0.0459008780703396,0.000515244745074472,2.01582040210036
"IEKF minus EKF","pi_gap",-0.0246597850749193,0.0308258381001045,0.000537615783784695,1.40117627588681
"IEKF minus EKF","u",0.0102399056785843,0.0132697677472213,0.000248427477278934,0.606846726969366
"IEKF minus EKF","w",0.0138894996751549,0.028469495574998,0.000492871391325936,0.911265428987754
"IEKF minus EKF","shadow_rate",-0.046732571953984,0.0489077287341585,0.000124101533401699,2.17198829531738
"IEKF minus UKF","r_star",0.00409749569360761,0.00718214862352158,0.00180897573558525,0.281145473867911
"IEKF minus UKF","pi_star",0.00324951895318325,0.00723409801493887,0.00047691594563215,0.729341697157567
"IEKF minus UKF","m",0.0405543483948441,0.0617082497609261,0.0017607617459946,1.45991669204937
"IEKF minus UKF","pi_gap",0.0105642179743725,0.0358523187861146,0.00199114955293589,0.771422029384041
"IEKF minus UKF","u",-0.00537334538690976,0.0160243516065126,0.00092670127686123,0.324835429342342
"IEKF minus UKF","w",-0.017874906669836,0.0343530007551573,0.00162132805264192,0.944034873327544
"IEKF minus UKF","shadow_rate",0.047901363041635,0.0681685818416622,0.000429543199350846,1.50739878086299
