"filter","regime","series","unit","observations","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","replication"
"EKF","all","r_star","percentage points",695,0.0157884825141828,0.166100819094027,0.115373071524139,0.140191494576505,0.689208633093525,0.952517985611511,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","pi_star","percentage points",695,-0.00815070272508802,0.196123157635577,0.127924286928242,0.154368890842503,0.664748201438849,0.951079136690647,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","m","percentage points",695,0.00564335655230986,0.113016863168204,0.0809538239284333,0.0954748936125337,0.669064748201439,0.923741007194245,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","pi_gap","percentage points",695,-0.0518222037835767,0.987172278530885,0.767423238140783,0.969885227163982,0.693525179856115,0.938129496402878,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","u","percentage points",695,-0.0140295319745932,1.43708314723425,1.1494395205224,1.41412493197066,0.673381294964029,0.943884892086331,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","w","normalized units",695,-0.00894015626073823,0.16493099516067,0.127423289459198,0.153226346067061,0.679136690647482,0.939568345323741,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","all","shadow_rate","percentage points",695,0.0132811363414046,0.112534834718706,0.0781599268875268,0.0888057778661316,0.666187050359712,0.942446043165468,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","r_star","percentage points",16,-0.103671893667405,0.279844565218092,0.215144450397189,0.252414747878427,0.8125,1,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","pi_star","percentage points",16,0.210754399800496,0.482208557020485,0.358707834599859,0.306748365796082,0.5625,0.875,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","m","percentage points",16,0.162973097762248,0.295031411072919,0.234686411408653,0.147654231730602,0.375,0.625,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","pi_gap","percentage points",16,-0.245566840818435,0.912758466694876,0.767417032562255,1.01498709525823,0.6875,1,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","u","percentage points",16,-0.0188611451557912,1.20859190920711,1.02313143425774,1.42055123288367,0.8125,1,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","w","normalized units",16,-0.146386065930425,0.25116204793399,0.223469870052506,0.207280019978784,0.5625,0.875,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","binding","shadow_rate","percentage points",16,0.270055603895339,0.349098921050248,0.284964218232489,0.136513808857688,0.3125,0.5625,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","r_star","percentage points",679,0.0186034545596989,0.162463012086637,0.113022052287072,0.1375470585635,0.686303387334315,0.95139911634757,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","pi_star","percentage points",679,-0.0133089967463094,0.184096256632491,0.122486088455863,0.150778211020327,0.667157584683358,0.952871870397644,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","m","percentage points",679,0.00193602833528629,0.104989005379556,0.0773312592749966,0.0942453363078369,0.6759941089838,0.930780559646539,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","pi_gap","percentage points",679,-0.0472567926016065,0.988858240923423,0.767423384369437,0.968822443821555,0.693667157584683,0.936671575846834,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","u","percentage points",679,-0.0139156795284972,1.44203077948403,1.15241585245205,1.41397350219951,0.670103092783505,0.942562592047128,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","w","normalized units",679,-0.00570137193862486,0.162347624538745,0.125160041610165,0.151952621792263,0.681885125184094,0.941089837997054,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"EKF","nonbinding","shadow_rate","percentage points",679,0.00723048614867559,0.100452737776077,0.0732867771651124,0.0876815827323099,0.674521354933726,0.95139911634757,0.023021582733813,81.5549514278779,0.0640000000000001,0,1
"IEKF","all","r_star","percentage points",695,0.0141935223567637,0.167046767224844,0.115349943877994,0.14025612448058,0.682014388489209,0.955395683453237,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","pi_star","percentage points",695,-0.0077707121838313,0.196322209125403,0.127928208304838,0.15440118261655,0.667625899280576,0.951079136690647,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","m","percentage points",695,-0.000411889410012388,0.0994091860431831,0.075887850799315,0.0961201833948126,0.690647482014389,0.943884892086331,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","pi_gap","percentage points",695,-0.0522178895031696,0.98787279501879,0.768204819906888,0.969939029607706,0.694964028776978,0.939568345323741,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","u","percentage points",695,-0.0140197476775261,1.43727318657102,1.1496744175045,1.41413154754486,0.673381294964029,0.943884892086331,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","w","normalized units",695,-0.0103311881370494,0.15809832887078,0.124909069459655,0.153948374018732,0.680575539568345,0.942446043165468,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","all","shadow_rate","percentage points",695,0.00601092076291997,0.0925621565645511,0.0729496678692798,0.0898490839839939,0.673381294964029,0.952517985611511,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","r_star","percentage points",16,-0.12823454919773,0.289811813897137,0.21900577387153,0.254484739570821,0.75,1,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","pi_star","percentage points",16,0.204799359632031,0.489580039569808,0.361612991739077,0.307429521614398,0.5625,0.875,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","m","percentage points",16,0.0326989295319986,0.19697555444649,0.153891630905844,0.184065155436945,0.75,0.9375,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","pi_gap","percentage points",16,-0.255808882203919,0.915624963792616,0.768186392569948,1.01644696899983,0.6875,1,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","u","percentage points",16,-0.0126380231449176,1.20842615950753,1.02109329533334,1.42064016658969,0.8125,1,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","w","normalized units",16,-0.0600613769115912,0.213814914970614,0.185050854683731,0.244334483095224,0.8125,1,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","binding","shadow_rate","percentage points",16,0.109263739966299,0.225145443332346,0.19313099658288,0.201998165220554,0.5,0.875,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","r_star","percentage points",679,0.0175497066643807,0.163042945436325,0.112907391183007,0.137564433992444,0.680412371134021,0.954344624447717,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","pi_star","percentage points",679,-0.0127797271308914,0.183854800259652,0.122421644924944,0.150795212919988,0.670103092783505,0.952871870397644,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","m","percentage points",679,-0.00119211489318202,0.0959206958944681,0.074049764670148,0.094047842374674,0.689248895434462,0.944035346097202,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","pi_gap","percentage points",679,-0.0474204581582329,0.989511633990515,0.76820525412985,0.9688431135101,0.695139911634757,0.938144329896907,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","u","percentage points",679,-0.0140523067239499,1.44222790211521,1.15270431139955,1.41397817802392,0.670103092783505,0.942562592047128,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","w","normalized units",679,-0.0091593427461912,0.156546457179405,0.123491884535376,0.151818509887327,0.677466863033873,0.941089837997054,0.023021582733813,81.552750421106,0.114000000000001,1,1
"IEKF","nonbinding","shadow_rate","percentage points",679,0.00357786464030723,0.0870354547034719,0.0701177072515809,0.087206395766343,0.677466863033873,0.954344624447717,0.023021582733813,81.552750421106,0.114000000000001,1,1
"UKF","all","r_star","percentage points",695,0.0120480436276401,0.16634112055985,0.115249892857258,0.140737244126398,0.686330935251799,0.956834532374101,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","pi_star","percentage points",695,-0.00659635216830513,0.195286193035481,0.127060333622044,0.154638498733627,0.669064748201439,0.951079136690647,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","m","percentage points",695,-0.00540039227814491,0.107579691203117,0.0802201004726882,0.107766273900387,0.700719424460432,0.949640287769784,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","pi_gap","percentage points",695,-0.0515028888058706,0.985994685086483,0.767007918422362,0.970165040262605,0.693525179856115,0.939568345323741,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","u","percentage points",695,-0.0147384363106028,1.43722601400981,1.14961851961264,1.41416323026432,0.673381294964029,0.943884892086331,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","w","normalized units",695,-0.00721455466742455,0.161187963142514,0.125935085261833,0.158907952884755,0.693525179856115,0.945323741007194,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","all","shadow_rate","percentage points",695,5.12991811900175e-05,0.100204199187663,0.0770711079463081,0.104909143095468,0.694964028776978,0.959712230215827,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","r_star","percentage points",16,-0.143668849385474,0.296608454491321,0.226923646388437,0.255615480010336,0.625,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","pi_star","percentage points",16,0.198813712965725,0.484887012606421,0.356423950227908,0.307500781260121,0.5625,0.875,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","m","percentage points",16,0.0212185130282745,0.196964295947456,0.159915689880943,0.274709581511069,0.8125,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","pi_gap","percentage points",16,-0.222392266028842,0.897906520743642,0.749784574822921,1.01641685023479,0.6875,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","u","percentage points",16,-0.0231773458964298,1.2077733425126,1.02043253772529,1.42073452020768,0.8125,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","w","normalized units",16,-0.0209290199205564,0.229895735600784,0.178369322876434,0.265795326600854,0.6875,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","binding","shadow_rate","percentage points",16,0.0763633766085255,0.238851556318252,0.200258601217613,0.305921353631598,0.75,1,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","r_star","percentage points",679,0.0157173665852393,0.16201322618247,0.112618405292458,0.138030245931783,0.687776141384389,0.955817378497791,0.023021582733813,81.5660317317842,0.472,0,1
