"","rho_r_star","sigma_r_star_pp","rho_pi_star","sigma_pi_star_pp","phi_m_m","phi_m_pi","phi_pi_m","phi_pi_pi","sigma_m_pp","sigma_pi_gap_pp","sigma_u_pp","impact_pi_m_ratio","liquidity_spread_gfc_pp","sigma_inf_pp","sigma_ptr_pp","sigma_inflation_survey_pp","sigma_tbill_survey_pp","sigma_nominal_yield_pp","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w.rho_w","sigma_wpi"
"rho_r_star",3.7251377623061e-07,-5.98419483622575e-06,-1.11342108325797e-09,2.42350611578865e-07,-1.08045858925476e-07,2.60134908262794e-07,-2.18763815115644e-07,3.41065507396906e-07,1.44460292149315e-06,-5.50837894599737e-06,-6.47481701590636e-07,-7.19585814255281e-06,1.28891239115994e-07,3.33502568459511e-07,-3.42938348628739e-06,-1.72594532063265e-06,-3.5627782561551e-06,1.03464649967365e-07,-2.69090893895274e-06,1.3554425874201e-06,2.36854968527586e-05,-0.000104841467816351,0.000137256014984324,-2.09657108422675e-05,-7.73666705254791e-07,-2.23680417360477e-07,-1.23594540838624e-07,3.70509416272761e-06,-2.32484580089532e-05,-1.21907388691274e-05,-1.65299658034036e-07,2.24367122186855e-06,-2.90748942903513e-08,-1.66744629277743e-06
"sigma_r_star_pp",-5.98419483622575e-06,0.00016941878704103,-1.99454817396982e-07,-8.34580103881806e-06,2.67873178553483e-06,-9.37527240145101e-06,-7.69413835158746e-06,-4.04749811453752e-07,-1.618778099893e-05,-1.00487373142839e-05,0.000703015935814643,0.000316987748212203,3.6996986309371e-05,-0.000619410096673252,7.22476112136062e-05,9.07362154862434e-06,5.9937685018812e-05,-3.20724736975492e-06,5.17005000835611e-05,-2.86249221879189e-05,-0.000547862934977312,0.0017864506045898,-0.00504072343777756,0.000341252174506747,3.23777893534174e-05,-6.31644225136654e-06,-0.000176805544809382,0.00049686396520866,-0.00250888180312367,0.000260152015640872,-0.000153695517344515,-3.42949553193857e-05,-4.45006192100034e-05,2.73384477426266e-05
"rho_pi_star",-1.11342108325797e-09,-1.99454817396982e-07,8.4189200194053e-09,-3.34955501034413e-07,-1.10379320316758e-08,-1.07728265174676e-08,1.21236263700221e-07,-5.4167468498831e-08,-7.51345584139706e-07,1.85745755491088e-06,-7.43917674188025e-06,-5.19111969060768e-06,-2.35401985915802e-07,2.84647750805125e-06,-1.15207931073437e-06,-4.39850786884817e-07,5.4728684803379e-08,1.43530509769107e-08,9.40837478250313e-08,2.04156462904548e-07,4.50793352520963e-07,9.9740153361485e-06,2.17038442144404e-05,-1.22243181152292e-06,-4.74585642611512e-08,1.85221377413633e-07,1.21495326920524e-06,1.57270778345792e-07,2.75967963102024e-05,-1.26432174699387e-06,1.48304191809771e-06,3.33433230433518e-08,3.39412527653318e-07,-8.31140656699826e-08
"sigma_pi_star_pp",2.42350611578865e-07,-8.34580103881806e-06,-3.34955501034413e-07,2.17588030557686e-05,-5.76424107389782e-07,1.18862279181275e-07,-2.28758391375096e-06,8.45681918978018e-07,3.04375914306098e-06,-7.94441686984802e-05,2.174339733571e-05,7.02970901633623e-05,-1.3576327101067e-05,0.000184402293577824,3.50801285665562e-05,3.35059799555013e-05,-1.17672719948739e-05,3.43113059635104e-07,-9.28526198477999e-06,-6.03280712353584e-06,5.43462314932832e-05,-0.000772093705814845,0.000513212451333538,8.261406122709e-05,-8.54573846786536e-06,-8.2495901681125e-06,-2.27455536271336e-05,-0.00018011817673856,-0.000208565074969524,8.71645368919993e-05,-3.30953764356332e-05,-5.49376774744983e-07,-9.55680325269698e-06,7.1349054206768e-06
"phi_m_m",-1.08045858925476e-07,2.67873178553483e-06,-1.10379320316758e-08,-5.76424107389782e-07,5.09046905737814e-07,1.52944604716963e-07,-5.01246358350818e-07,-1.64341382349532e-06,2.110517483368e-06,5.41184530220812e-06,3.75025197525625e-05,2.92643437622794e-05,2.92308061476698e-06,-3.72256893262563e-05,5.82715614666578e-06,4.41173188416415e-06,3.72788202796495e-06,-3.80198098008971e-08,6.36741970230191e-07,-1.03744417087441e-06,-1.26215589976775e-05,4.93367391107942e-05,-0.000196714016145668,-2.33105588603233e-05,2.17293886838128e-06,-2.71176262828645e-07,-1.86996813329939e-06,2.34953770609282e-05,-0.000121236478982376,-2.34687849515943e-05,-3.10193173744715e-06,-8.06498028609986e-07,1.44091762473631e-07,-2.63715529357204e-06
"phi_m_pi",2.60134908262794e-07,-9.37527240145101e-06,-1.07728265174676e-08,1.18862279181275e-07,1.52944604716963e-07,9.12486360737666e-06,-9.64495449371057e-08,5.98966213289602e-06,9.05817816922854e-06,2.63107761798084e-05,1.56487859131694e-07,-8.40150253006845e-05,2.25780952934203e-05,5.72691941709776e-05,-4.48688297828728e-06,6.78909795475634e-06,-1.30540218836262e-05,-1.33923779685623e-07,-9.34459308457149e-07,-2.52973037127735e-05,-4.14821414160395e-05,0.00146492384580669,-0.00184665488044463,2.57748328875334e-05,-5.44836022126455e-06,-3.66774831284597e-06,6.33577945260736e-05,0.000437855489615787,-0.000436863781840483,-1.67186124200578e-05,3.40252329288593e-05,3.92506948701147e-06,1.24540060352778e-05,-1.83537069008529e-06
"phi_pi_m",-2.18763815115644e-07,-7.69413835158746e-06,1.21236263700221e-07,-2.28758391375096e-06,-5.01246358350818e-07,-9.64495449371057e-08,1.73508450809195e-05,4.30159299890105e-06,-1.33217812299179e-05,-1.84011287301508e-05,-0.00013590240669472,-0.000297056772831233,-2.30427421523596e-05,0.000145060634572567,5.59359157048421e-06,1.16237654110163e-05,2.13678294968613e-05,7.81225462298632e-07,9.56060876777673e-06,-5.1041482614507e-06,-7.05077459221624e-06,0.000188834573631262,0.000238148066231687,2.73465711024527e-05,-5.87700032547165e-06,-2.616146237895e-06,1.11489040088384e-05,-5.41482108608163e-05,0.000448476091798018,2.90804347485229e-05,4.11835846971713e-05,-9.92864358203506e-07,4.65024539236343e-06,3.80416862773643e-06
"phi_pi_pi",3.41065507396906e-07,-4.04749811453752e-07,-5.4167468498831e-08,8.45681918978018e-07,-1.64341382349532e-06,5.98966213289602e-06,4.30159299890105e-06,0.000426916751534276,9.03698676476303e-06,-0.00183440407362276,0.00131759034111849,2.4788568590548e-05,7.7194991593661e-06,-0.000275872688608344,-7.51231686984831e-08,-7.83225771110226e-05,-3.66536770504818e-05,1.21925662494022e-06,-3.66020535751238e-06,7.67482006639925e-05,-0.000306204370129194,0.000953086784353523,-0.0104903706350958,0.00197255050262056,-1.43217599853479e-05,4.22643914059058e-05,-0.000329980055483613,0.00117289066023867,-0.0087218263764152,0.00148723123395092,3.08437213197665e-05,-6.27547092072429e-06,2.16616701608751e-05,0.000197029479714477
"sigma_m_pp",1.44460292149315e-06,-1.618778099893e-05,-7.51345584139706e-07,3.04375914306098e-06,2.110517483368e-06,9.05817816922854e-06,-1.33217812299179e-05,9.03698676476303e-06,0.000266126064397277,-0.000111129320137269,0.00152653658614438,0.000658747783101994,0.000111489780339186,-0.00111505929140772,0.000161574289784202,-5.76774042136368e-05,1.40264143239973e-05,-4.07083379270391e-06,-5.10578403167684e-06,-1.59815684156602e-05,-9.7393548405198e-05,4.70607992766611e-07,-0.0054530113950624,-0.000124629297868455,3.45766210761153e-05,-8.33594082242983e-06,-9.36930144959987e-05,0.00038569430567336,-0.00475445722163928,-0.00014763697084578,-0.000130198020800165,5.23552447683096e-06,-1.33562170896346e-05,-1.50030705353965e-05
"sigma_pi_gap_pp",-5.50837894599737e-06,-1.00487373142839e-05,1.85745755491088e-06,-7.94441686984802e-05,5.41184530220812e-06,2.63107761798084e-05,-1.84011287301508e-05,-0.00183440407362276,-0.000111129320137269,0.00988242755109276,-0.00820949179354108,-0.000946386915744293,-0.000142158239149289,0.00242072707908143,-0.000264334606808123,0.000180578097690526,3.54650959055684e-05,-8.6165491901098e-06,0.000104255060664951,-0.000452471694284516,0.000765945764628521,0.0144787427416308,0.0388283242232461,-0.00910230327263662,3.73475568865383e-05,-0.000123665265310754,0.00225188259114283,0.000304465423821442,0.0452744091547276,-0.00717935117964931,0.00030744374739953,-1.54301939257019e-05,5.4415317412156e-05,-0.000928627438103957
