"","rho_r_star","sigma_r_star","rho_pi_star","sigma_pi_star","cyclical_raw_1","cyclical_raw_2","cyclical_raw_3","cyclical_raw_4","sigma_pi_gap","impact_pi_m_ratio","liquidity_spread_gfc","measurement_sigma_inf","measurement_sigma_ptr","measurement_sigma_inflation_survey","measurement_sigma_tbill_survey","measurement_sigma_nominal_yield","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w","sigma_wpi"
"rho_r_star",0.00624226432301591,-0.00373960368194985,-0.000412910579751997,0.000257951762153727,-0.00068843755228894,-0.000296776811241904,-9.96596633215792e-06,0.000191924471213233,-0.000989552543823613,0.000708776862971858,0.000252978601482069,-9.48939791527293e-05,-0.00019800030931571,-6.65310845408079e-05,-0.000616779364543107,0.000120712073107223,-0.000113509982816001,9.94468269742191e-05,0.00246037472863533,-0.0113732478938094,0.0124433904672496,-0.00277196699137313,3.19837678305832e-06,-6.48445534858034e-05,-0.000209818899570644,0.002433165909084,-0.00737077747745187,-0.00150890920410392,-0.000195092834255335,0.000173306737063756,-0.000648906648185322,-0.000207990014242495
"sigma_r_star",-0.00373960368194985,0.00434902773949934,-0.00102831957581409,-0.000316735067607212,0.000937545044131869,-0.000128145327494184,-0.000167825224809953,5.94097453057654e-05,-0.000174948122178739,0.000959599303697933,0.000220069326845982,-0.00195400140499257,0.000355920403625988,0.000216294154555634,0.000397480209439557,-0.000354834486499646,6.96994328145037e-05,-0.00013113986640727,-0.00254779755051921,0.00947923237931097,-0.0308892575797934,0.00449779626015144,2.50555623982407e-05,5.73038651756865e-05,-0.000247608556944344,-0.00225726647002503,-0.00963199135556208,0.00297317739005583,-0.000315733955375244,-5.08820361942351e-05,-0.00111243056393559,0.000375381782259535
"rho_pi_star",-0.000412910579751997,-0.00102831957581409,0.00416660540745468,-0.00134178927790831,-0.000284777303370435,0.000415724577323313,0.000206136447912135,-6.73296448703999e-05,0.00127653654169108,-0.00254730755713983,-0.000277863663400535,0.000925302847067585,-0.000951674125267033,-0.000805596347824343,0.000212472409437229,0.000240573270839966,0.000160315507084946,9.20623657764541e-05,8.71502114738456e-05,0.00861657463528424,0.0112054877504523,0.000776770620108106,9.57397855018423e-05,5.39543866054669e-05,0.000379084218400183,0.00413517904057683,0.012321560918334,0.0003674932420258,0.000701515477805719,4.08521166965274e-05,0.00249008487270827,0.000109988189288821
"sigma_pi_star",0.000257951762153727,-0.000316735067607212,-0.00134178927790831,0.000777266539202508,-0.000273248193815429,-0.000104518200548399,-8.78572557089982e-05,-0.000109015635267383,-0.000233059694176984,0.000203527445802049,-9.2590325337532e-05,0.000657462220821951,0.000240840159948142,0.00028231451343377,-0.000137788596646499,4.61723097139981e-05,-5.35735377323864e-05,-1.87499896300587e-05,0.000467616878472259,-0.00570325385009762,0.00752449260012049,-0.00178777459258931,-5.83554054514602e-05,-4.6599232575702e-05,-0.000109232046209267,-0.00130378882480664,0.00127386947859384,-0.00107182910984298,-0.000195470530065288,-3.92249604509464e-05,-0.00117543601614196,-0.000173278860327828
"cyclical_raw_1",-0.00068843755228894,0.000937545044131869,-0.000284777303370435,-0.000273248193815429,0.0014239274295241,0.000251799495263691,0.00026910602675033,0.000272167114103869,-0.000738534967495698,0.000163743346038843,6.83222960068038e-05,-0.00107888314708312,0.000228963296225967,0.000316210484324264,0.000458696269679872,-8.21877331764534e-05,-5.6685023781768e-05,-3.56020186112034e-05,-0.000829380324209915,0.00436196604343795,-0.0186681180169199,0.00512312520473929,1.72540676264364e-05,3.11206976070118e-05,6.84666761334269e-05,-0.000251510867127677,-0.00869190163659717,0.00328152980487774,9.0831965398775e-05,3.9604311204296e-05,0.00150065624661089,0.000458776266637623
"cyclical_raw_2",-0.000296776811241904,-0.000128145327494184,0.000415724577323313,-0.000104518200548399,0.000251799495263691,0.000808322742068602,0.000569120177848516,0.000641504836659677,-0.00117603919607521,-0.00204820107208066,-0.000147678265097621,0.000184448161461931,1.02010571843166e-05,6.43011081841545e-05,0.000179507600108351,5.97867853674826e-05,6.08308456101972e-05,-6.72958516497842e-05,-0.000344174984216134,0.00539067404873018,-0.0106741389790988,0.00324415736812597,-3.7674110049814e-05,-1.98847113039204e-05,-4.63439738172927e-05,0.00213430394734401,-0.00545213688093929,0.00236208254261194,0.000260463514557035,1.90169496723284e-05,0.000814181012501184,0.000311544308053569
"cyclical_raw_3",-9.96596633215792e-06,-0.000167825224809953,0.000206136447912135,-8.78572557089982e-05,0.00026910602675033,0.000569120177848516,0.000541787469533425,0.000649722308289123,-0.0010607893488112,-0.00148165475320073,4.01608488138379e-05,7.59222550696408e-05,-1.000021732539e-05,9.08920069899383e-05,-1.05993872767475e-06,3.70964604258023e-05,2.8256501455211e-05,-0.000106906764323812,-0.00031641283676913,0.00826410064168209,-0.0155366334104206,0.00314723421279829,-3.9731184503936e-05,-1.89908106278708e-05,0.000141824674060589,0.00320663476031448,-0.00751622147711647,0.00214706859271711,0.000288959483566073,4.22516280036369e-05,0.0014601096443838,0.000289271688837082
"cyclical_raw_4",0.000191924471213233,5.94097453057654e-05,-6.73296448703999e-05,-0.000109015635267383,0.000272167114103869,0.000641504836659677,0.000649722308289123,0.00273840221771753,-0.005183210186414,-0.00118746338859337,1.31126949648897e-05,-0.000587827225283264,-0.000125231475887371,-0.00015885728070881,-0.000376208685103169,0.000112411349988773,-4.91908253380214e-06,8.20627525631827e-05,-0.00110018147649732,0.00947434248945868,-0.0370475645435969,0.00536402078850953,-4.18589963678437e-05,8.76610441720895e-05,-0.000645200008095321,0.00546177399894134,-0.0259176290810736,0.0038021980654635,0.00029027488980568,9.68000850181622e-05,0.00204624378702609,0.000525229644665611
"sigma_pi_gap",-0.000989552543823613,-0.000174948122178739,0.00127653654169108,-0.000233059694176984,-0.000738534967495698,-0.00117603919607521,-0.0010607893488112,-0.005183210186414,0.0123082015806485,0.00204440503056838,-0.0002562047314507,0.00162954745475461,0.000141604232740635,9.14303706512681e-05,0.000651787437449637,-0.000318681227131857,0.000186609320764334,-0.000244017662087722,0.00177844955688089,-0.000829873378400491,0.0678127768006108,-0.0119773758565847,0.00010909079008379,-0.000130679006206992,0.00177111641224912,-0.00341546567646752,0.0557840099512327,-0.0087302194051329,-0.000189373250314456,-0.000272134752071901,-0.00211663753348994,-0.00117222173221195
"impact_pi_m_ratio",0.000708776862971858,0.000959599303697933,-0.00254730755713983,0.000203527445802049,0.000163743346038843,-0.00204820107208066,-0.00148165475320073,-0.00118746338859337,0.00204440503056838,0.0155069353647572,0.000272248013143879,-0.00257630659060712,-9.78808027838868e-05,3.17211103250386e-06,-0.00048018324749025,-0.000658658590940808,-0.00026362119669756,0.000233239371871514,0.000808528657090225,-0.0232509887781826,0.0215105593390528,-0.0109014511700781,-7.16343574569648e-05,0.000143826346171474,0.000239567184653144,-0.0158243843551787,0.0129834788244134,-0.00785252342048365,-0.000955021473949671,-4.2927655421867e-05,-0.00214381496380438,-0.00106121040582509
