"parameter","estimate","hessian_hac_se","opg_hac_se","se_ratio_hessian_to_opg"
"rho_r_star",0.99271704923277,6.57598578013346e-06,0.0006103390666102,0.0107743156876001
"sigma_r_star_pp",0.195888330395398,0.000100528937747023,0.0130160972277035,0.00772343168527177
"rho_pi_star",0.998605523938608,3.83673506492557e-06,9.17546730112712e-05,0.0418151461828463
"sigma_pi_star_pp",0.171862581397427,6.5892490184577e-05,0.00466463321771054,0.0141259745641733
"phi_m_m",0.959520011424573,1.30531543745222e-05,0.000713475231341505,0.0182951752228022
"phi_m_pi",0.0260370505223317,0.000106146244725896,0.00302073891744663,0.0351391654912102
"phi_pi_m",-0.00271753199369911,0.00013714131079567,0.00416543456087352,0.0329236502918224
"phi_pi_pi",0.663969544462936,1.98586012265469e-05,0.0206619638837714,0.0009611187657793
"sigma_m_pp",0.645951554610961,0.00217710281476046,0.0163133707245706,0.133455117983765
"sigma_pi_gap_pp",0.875259750418741,4.24392196922092e-05,0.0994103996123784,0.000426909255547593
"sigma_u_pp",1.73777586930449,0.0106421140827284,0.143443494997611,0.0741902871434196
"impact_pi_m_ratio",0.306541691703317,0.00020040272208465,0.135588213116176,0.00147802465626521
"liquidity_spread_gfc_pp",0.813732781251588,0.312342070085717,0.0235553674844405,13.2599107312605
"sigma_inf_pp",2.20000367116726,0.00153015120467786,0.133401676925109,0.0114702546470752
"sigma_ptr_pp",0.825217487992018,0.00089547060349652,0.0478074844267169,0.0187307618092554
"sigma_inflation_survey_pp",0.946254300250633,0.000868726016544203,0.0477480150734134,0.0181939713139598
"sigma_tbill_survey_pp",0.478888194434542,0.000300042772397588,0.0274466213581738,0.0109318654737893
"sigma_nominal_yield_pp",0.0664264577187553,8.32755149782597e-05,0.00101493084583331,0.0820504326182802
"lambda0_eps_r_star",0.039231014104963,0.000123048533740591,0.0158511753294352,0.00776273879906515
"lambda0_eps_pi_star",0.0913119757032161,0.000942748080667712,0.0175362923439531,0.0537598291689515
"lambda0_eps_m",0.46647477807717,0.000425308083599333,0.120124660132819,0.00354055597850665
"lambda0_eps_pi_gap",-3.82832495401311,0.000570431011739271,0.913044150151,0.000624757315015853
"lambda0_eps_u",5.29831302084843,0.000606789802027744,1.38951217926155,0.000436692683291354
"lambda0_eps_w",-0.0717553585214638,0.000626028629572105,0.242460118116728,0.0025819859960256
"lambdaw_eps_r_star",-0.00737821518175934,9.26030584388614e-05,0.00980454513731615,0.0094449112265712
"lambdaw_eps_pi_star",0.0524038177970751,0.000141978002784647,0.00617117201578876,0.0230066513170271
"lambdaw_eps_m",0.434279489145395,4.57228733917165e-05,0.0448802445717202,0.00101877504964684
"lambdaw_eps_pi_gap",-2.8024801267056,0.000168824685954972,0.334542133889489,0.000504644015963446
"lambdaw_eps_u",4.14971948519577,0.000306447706867265,0.724038911233872,0.000423247565997567
"lambdaw_eps_w",0.0699906360144285,9.27176665654463e-05,0.178178283248299,0.000520364574599926
"lambda_r_star_scale",0.320778011450833,0.000218316509152471,0.042593664523868,0.00512556295855065
"lambda_pi_star_scale",0.0717474921610833,0.000389296180951095,0.0106108468273412,0.0366885119807767
"rho_w.rho_w",0.930398260957175,7.95903816407859e-05,0.011193030089353,0.00711070916502708
"sigma_wpi",0.000403919080600303,0.00022621877863365,0.0226795475654505,0.00997457193450661
