"","rho_r_star","sigma_r_star","rho_pi_star","sigma_pi_star","cyclical_raw_1","cyclical_raw_2","cyclical_raw_3","cyclical_raw_4","sigma_pi_gap","impact_pi_m_ratio","liquidity_spread_gfc","measurement_sigma_inf","measurement_sigma_ptr","measurement_sigma_inflation_survey","measurement_sigma_tbill_survey","measurement_sigma_nominal_yield","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w","sigma_wpi"
"rho_r_star",12276.9050218109,21776.3841267717,-91934.7742167372,-185294.49263772,-4408.57966941852,-190857.800270028,380497.786184878,-75939.8426498646,-73204.0419731991,295.314185196961,156.816250192595,270.208822492728,415.046769646658,340.25428192137,267.960968673982,-93.563642611672,-108951.809779186,-59286.1061818239,-69375.5891448445,-82.8822171271494,5110.26411246607,-89880.0080635132,49607.8087529316,56070.0720484056,-20249.1655406246,14237.5937242654,11855.1167374511,28909.0426886048,-14996.0919416475,3487.97976723038,4496.8774230142,711580.560196545
"sigma_r_star",21776.3841267717,44491.4623982512,-173508.948491211,-351482.295933932,-10969.5410454244,-386144.18126539,762694.256681947,-146657.727169118,-142031.769543972,-24.6800549492423,-274.638793567648,131.28321554372,1134.3613767437,878.912397375174,622.454579816673,-749.278045270851,-191246.010723714,-89944.7455652098,-122169.732584951,8834.04429632724,15270.6294841707,-144859.694295796,57733.086168231,68733.682993472,-58482.7792082111,15215.9163789222,16117.0789646733,4083.0422768562,-33673.6418154261,6241.81116904452,3501.52195876153,1469916.89331724
"rho_pi_star",-91934.7742167372,-173508.948491211,6682597.73499704,13249229.7326364,-6389.04164539021,161180.957141702,-1218676.18399635,5442852.2303923,5678453.11616961,-36987.870546829,-12286.0230744743,-3962.81243159278,-11593.3089154045,-10763.9769207076,-4014.66476830571,-67847.8528211809,-590897.429130489,-1992228.616729,-105403.916252634,-678699.472107932,-463900.237177617,-1400874.34240803,325659.599105382,-77311.1372350778,521376.562399469,-471846.079239219,-360531.978492434,-251727.649090859,-262854.103170273,241597.024760342,-36831.8910145959,16347616.942482
"sigma_pi_star",-185294.49263772,-351482.295933932,13249229.7326364,26279187.2268246,-10698.9899220743,416167.484620467,-2593774.76191312,10791541.1485393,11259272.8548711,-72628.2233103241,-22463.3424754041,-7457.24698567828,-23174.257996337,-21509.7838986644,-8130.9143349524,-129659.328775781,-1049519.55682317,-3831003.86600864,-152886.241034638,-1351680.51303141,-928665.766935976,-2704116.19381255,590158.666448037,-207149.478449512,1015796.01177971,-925616.1255524,-706314.569872615,-516651.890011277,-507775.203347244,481283.420103117,-76316.6903981727,31787180.9085137
"cyclical_raw_1",-4408.57966941852,-10969.5410454244,-6389.04164539021,-10698.9899220743,10456.5959217802,122182.756958249,-240280.658776677,-11561.5631148368,-13527.1628713759,129.716709624682,-550.092716464363,-134.118721194231,-592.276864941769,-512.785326653187,-571.393250559136,-2976.84244309395,27617.4250257848,42240.7559168192,23720.2356019256,13953.2716256687,7766.88546799513,46537.0272753691,-8743.69078500983,-51367.6156810184,31070.2614192505,-12885.5725409675,-11994.3216934291,8148.54114054277,15537.3762030106,-21818.7901370571,1181.00719206944,-544822.636833542
"cyclical_raw_2",-190857.800270028,-386144.18126539,161180.957141702,416167.484620467,122182.756958249,4643076.24439181,-8793644.52020013,151226.534526514,13154.687862719,18791.094045071,21202.4470689705,4235.7966424589,-10379.5002810942,-7266.16598794011,-6874.75245046569,22123.457129034,2950668.16362724,1739189.54958457,1820544.92170161,77004.4215972678,-80456.8972159966,2547499.12748182,-1463811.5943683,-979715.941574235,70536.8064107609,-17424.5403124254,-36822.988419066,-521592.021275641,393038.713833014,-356624.977781411,-49948.7504249949,-22388130.4770995
"cyclical_raw_3",380497.786184878,762694.256681947,-1218676.18399635,-2593774.76191312,-240280.658776677,-8793644.52020013,16875141.2641275,-1001527.13580279,-766601.797728936,-22608.2506514435,-27260.6691279363,-5060.23965316888,21222.2012267016,15266.7619671041,13429.313868308,-25598.4219216523,-5640321.94901398,-3381666.1034566,-3407764.6716192,-184067.025183172,122011.325756934,-4856329.86743519,2824124.72358524,2320284.46595747,-279720.333832428,264090.439088828,239592.724289913,1250822.6243931,-723266.231927595,675765.118891588,124425.823758172,40740344.4562315
"cyclical_raw_4",-75939.8426498646,-146657.727169118,5442852.2303923,10791541.1485393,-11561.5631148368,151226.534526514,-1001527.13580279,4506656.76623794,4672755.37209924,-26986.1788265166,-3107.16591798417,-572.028375240754,-9509.42478320515,-8713.0154569676,-2385.11482811794,-34799.1777676234,-413781.846620739,-1853363.16452389,-43146.4819520578,-645075.672263579,-443529.061133695,-1209720.62275901,316990.173729363,244850.186053413,377861.864594064,-271992.672332213,-212020.729316538,-74244.1593650271,-204129.17451003,272036.272045884,-23834.2474671307,13037489.3773267
"sigma_pi_gap",-73204.0419731991,-142031.769543972,5678453.11616961,11259272.8548711,-13527.1628713759,13154.687862719,-766601.797728936,4672755.37209924,4871121.53984813,-28022.4100022812,-3713.56173862932,-944.398224577824,-9694.99792661162,-8906.51180924852,-2956.21687232381,-42734.0216294017,-637763.594933834,-1987124.12738043,-137034.502830396,-676473.091146542,-459953.791755136,-1422460.78059996,415365.415140003,271104.630020979,424636.167786411,-280814.759956375,-221067.804718936,1218.91839033275,-231038.245584739,273268.806700956,-13641.4591839416,14661486.2380284
"impact_pi_m_ratio",295.314185196961,-24.6800549492423,-36987.870546829,-72628.2233103241,129.716709624682,18791.094045071,-22608.2506514435,-26986.1788265166,-28022.4100022812,1353.62272025187,1211.5126971939,201.069111481039,-7.81034409243974,0.203996786115738,-31.3784388838716,1240.60306003451,-5948.7865752941,-28788.2251462234,8621.59108363607,-11524.0659435367,-8757.69058844897,-12850.5238390572,6488.19141419177,49673.514873994,-8117.84824909511,22582.1475269315,16067.7377601852,31672.4126812252,2193.70899979179,1071.02378783127,3361.69428369817,-107147.402761968
"liquidity_spread_gfc",156.816250192595,-274.638793567648,-12286.0230744743,-22463.3424754041,-550.092716464363,21202.4470689705,-27260.6691279363,-3107.16591798417,-3713.56173862932,1211.5126971939,5757.98234531321,983.885111648147,20.4908039589439,127.633454724816,22.03878150941,6009.57480871581,10167.8189300549,-23004.1404070609,12911.237356681,-16941.6305921386,-12864.1573524742,-13271.895240354,-5600.08074715885,38801.711188124,-14350.8787524172,24053.8933403024,17590.1300399814,28826.5711778563,-1630.76602480523,5138.46046793744,3662.82547593535,-79416.3986530611
