"parameter","estimate","opg_se","hac_sandwich_se"
"rho_r_star",0.993094581156088,0.000297662913969307,0.000541815867182924
"sigma_r_star_pp",0.202067839212416,0.00784387468026274,0.0133257998732135
"rho_pi_star",0.998570600724272,6.29163745750454e-05,9.21347639948179e-05
"sigma_pi_star_pp",0.173810336457414,0.00384017542806817,0.00484574534052642
"phi_m_m",0.958301327811584,0.000532799660511829,0.00083927001497803
"phi_m_pi",0.0241517544801616,0.00160044610775068,0.00290456379324972
"phi_pi_m",0.00154907648505355,0.00264392199391085,0.00456002197083932
"phi_pi_pi",0.667905053419232,0.0145419855656599,0.0212386789436915
"sigma_m_pp",0.633869006245752,0.0100381967393233,0.0144695356716525
"sigma_pi_gap_pp",0.869792441379268,0.0721350699103138,0.0964968040028629
"sigma_u_pp",1.73633153972064,0.101778727889995,0.154878832877123
"impact_pi_m_ratio",0.367931807480385,0.0885777906533592,0.124526845960033
"liquidity_spread_gfc_pp",0.745279287928681,0.0148980390406642,0.0249025916570716
"sigma_inf_pp",2.18317492899878,0.102002648726998,0.141078450200386
"sigma_ptr_pp",0.810352994171491,0.0255707479669466,0.0468875325779496
"sigma_inflation_survey_pp",0.910315349922407,0.0292481309778099,0.0446469413598748
"sigma_tbill_survey_pp",0.458661851925467,0.0207889739358822,0.0242524948609902
"sigma_nominal_yield_pp",0.066301273257871,0.000558628904571028,0.00100682555651809
"lambda0_eps_r_star",0.0335543277533963,0.0092220551862868,0.0165156510565517
"lambda0_eps_pi_star",0.0862816714670125,0.012871600470749,0.0152122022532164
"lambda0_eps_m",0.473657989648518,0.10504775500792,0.105888226473372
"lambda0_eps_pi_gap",-3.81603973855034,0.734798740922334,0.836971252451237
"lambda0_eps_u",5.31829399426554,1.20669861341867,1.3903065305909
"lambda0_eps_w",-0.0696077483331171,0.216943734342594,0.325416990981744
"lambdaw_eps_r_star",-0.0112594113243094,0.00481469051443801,0.00962470898879182
"lambdaw_eps_pi_star",0.0497412938196249,0.00396406671648807,0.00580387266259631
"lambdaw_eps_m",0.41250179006321,0.0285420971640788,0.0379156495442278
"lambdaw_eps_pi_gap",-2.80644532870584,0.221795749939138,0.340073506700409
"lambdaw_eps_u",4.15068488890819,0.501291650817674,0.703050829066089
"lambdaw_eps_w",0.0660438835550193,0.155654611548783,0.227837253081147
"lambda_r_star_scale",0.260720370124694,0.0224677080351626,0.0350483107764966
"lambda_pi_star_scale",0.0817137553296304,0.00796903256232267,0.0116874993622759
"rho_w.rho_w",0.929507311059276,0.00790303238644999,0.0116934581836694
"sigma_wpi",-0.000398161371645754,0.0203707893153099,0.0304680657206381
