"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
-1,-1,-1,1,-1.75,"Below the bound",-0.5,12,"1y","Nominal",0.19322500439726,0.19258589211745,0.0639112279809756,0.0612832142971602,200000
0,-1,-1,2,-0.5,"Below the bound",-0.5,12,"1y","Nominal",0.575873461047544,0.575104502156934,0.0768958890610794,0.0733002584223977,200000
1,-1,-1,3,0.75,"Near the bound",-0.5,12,"1y","Nominal",1.37427230470843,1.37361289974603,0.0659404962393806,0.044444508211947,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,12,"1y","Nominal",0.499533214197849,0.498846656737464,0.0686557460384762,0.0739762159910171,200000
0,0,-1,5,0.5,"Near the bound",-0.5,12,"1y","Nominal",1.22221457204474,1.22150086206022,0.0713709984520472,0.049663192951819,200000
1,0,-1,6,1.75,"Above the bound",-0.5,12,"1y","Nominal",2.27137767843787,2.27112262829079,0.0255050147083047,0.0194706850873679,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,12,"1y","Nominal",1.07723208161958,1.07648077264942,0.0751308970162512,0.0548700918107933,200000
0,1,-1,8,1.5,"Above the bound",-0.5,12,"1y","Nominal",2.09904278538458,2.09874799467724,0.0294790707338954,0.0226690796418944,200000
1,1,-1,9,2.75,"Above the bound",-0.5,12,"1y","Nominal",3.22679426063262,3.22675197726194,0.00422833706870129,0.00693259034967979,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,12,"1y","Nominal",0.425800191395111,0.424902201029037,0.0897990366074131,0.0758217360612136,200000
0,-1,0,11,1,"Near the bound",-0.5,12,"1y","Nominal",1.17508970878433,1.17425979489814,0.0829913886196243,0.0557426523563838,200000
1,-1,0,12,2.25,"Above the bound",-0.5,12,"1y","Nominal",2.20631093697096,2.20594469355924,0.0366243411725975,0.0247214319003549,200000
-1,0,0,13,0.75,"Near the bound",-0.5,12,"1y","Nominal",1.0307586887278,1.02989106610726,0.0867622620539299,0.0606691918453826,200000
0,0,0,14,2,"Above the bound",-0.5,12,"1y","Nominal",2.03570060066731,2.03526254654679,0.0438054120524001,0.0281785756036191,200000
1,0,0,15,3.25,"Above the bound",-0.5,12,"1y","Nominal",3.15366136631154,3.15359913613866,0.00622301728787633,0.00974887074898069,200000
-1,1,0,16,1.75,"Above the bound",-0.5,12,"1y","Nominal",1.86724077756427,1.86671759685718,0.0523180707088011,0.0320287886676471,200000
0,1,0,17,3,"Above the bound",-0.5,12,"1y","Nominal",2.9766334841494,2.97654194753789,0.00915366115137317,0.0113478762818658,200000
1,1,0,18,4.25,"Above the bound",-0.5,12,"1y","Nominal",4.12119609620096,4.12118752590325,0.000857029771506035,0.00321995046155299,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,12,"1y","Nominal",1.00262653243857,1.00164624412089,0.0980288317675049,0.0656520059149746,200000
0,-1,1,20,2.5,"Above the bound",-0.5,12,"1y","Nominal",1.97975837248224,1.97915189804857,0.0606474433668458,0.0347692669200742,200000
1,-1,1,21,3.75,"Above the bound",-0.5,12,"1y","Nominal",3.08280351288507,3.0826872083111,0.0116304573968051,0.0135413756012221,200000
-1,0,1,22,2.25,"Above the bound",-0.5,12,"1y","Nominal",1.81412389770024,1.81343238056151,0.069151713873028,0.0387654597876103,200000
