"eta","security","maturity_months","maturity","mean_error_bp","mean_abs_error_bp","rmse_bp","max_abs_error_bp","median_mc_se_bp","max_mc_se_bp"
-0.5,"Real",12,"1y",0.0444249779994992,0.0444249779994992,0.0550837457558661,0.108707347704212,0.0284374247039343,0.0766266181683636
-0.5,"Real",24,"2y",-0.0497883208019263,0.0498284537359114,0.0668746583635399,0.165370350785998,0.038855038468221,0.0839535096272465
-0.5,"Real",60,"5y",-0.21595676898478,0.21595676898478,0.255395776498375,0.505843233714603,0.0453904787528344,0.0807310550091441
-0.5,"Real",120,"10y",-0.61658871431721,0.61658871431721,0.665779046349225,1.09395913794642,0.0480920628604734,0.0750735544582163
0.5,"Real",12,"1y",-0.0449874491854744,0.0449874491854744,0.0579670996831632,0.110630022252978,0.00892405192072776,0.0238644927296804
0.5,"Real",24,"2y",-0.107927709670669,0.107927709670669,0.132787479882183,0.243332931753731,0.0119511291855393,0.0255607475022457
0.5,"Real",60,"5y",-0.325933975557025,0.325933975557025,0.367731996049985,0.639192934149738,0.013848046386028,0.02422286967104
0.5,"Real",120,"10y",-0.673783909523266,0.673783909523266,0.724231637567413,1.15453291102937,0.0145380207073877,0.022254993757792
1.5,"Real",12,"1y",-0.0369999415024629,0.0380092486231643,0.0515038992974982,0.110450207014834,0.0272437852300541,0.0733281233758764
1.5,"Real",24,"2y",-0.0994473352595739,0.0994473352595739,0.117164935316115,0.220284290660033,0.0362838773767327,0.0771596438021357
1.5,"Real",60,"5y",-0.288001956497159,0.288001956497159,0.319589335606753,0.522175945978637,0.0415484858496077,0.07183287613278
1.5,"Real",120,"10y",-0.65934936614596,0.65934936614596,0.704094885993211,1.08563298801018,0.0433971498272419,0.0658538929732045
