"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
-1,-1,-1,1,-1.75,"Below the bound",0.5,12,"1y","Nominal",0.193229058250585,0.19431101844378,-0.10819601931947,0.0195494225996264,2000000,0.193229058250585,-0.10819601931947,0
0,-1,-1,2,-0.5,"Below the bound",0.5,12,"1y","Nominal",0.575877756504965,0.577086592906571,-0.120883640160574,0.0233729108492065,2000000,0.575877756504965,-0.120883640160574,0
1,-1,-1,3,0.75,"Near the bound",0.5,12,"1y","Nominal",1.37427500671456,1.37488811669829,-0.0613109983733651,0.0142049405686863,2000000,1.37427500671456,-0.0613109983733651,0
-1,0,-1,4,-0.75,"Below the bound",0.5,12,"1y","Nominal",0.499537594355884,0.500796597720846,-0.125900336496165,0.023585632510826,2000000,0.499537594355884,-0.125900336496165,0
0,0,-1,5,0.5,"Near the bound",0.5,12,"1y","Nominal",1.22221751988709,1.22293590647759,-0.0718386590500941,0.0158640292026674,2000000,1.22221751988709,-0.0718386590500941,0
1,0,-1,6,1.75,"Above the bound",0.5,12,"1y","Nominal",2.27137885368068,2.27158869879565,-0.0209845114973906,0.00625078938997271,2000000,2.27137885368068,-0.0209845114973906,0
-1,1,-1,7,0.25,"Near the bound",0.5,12,"1y","Nominal",1.07723527022957,1.07806936139169,-0.0834091162121187,0.0175193980876103,2000000,1.07723527022957,-0.0834091162121187,0
0,1,-1,8,1.5,"Above the bound",0.5,12,"1y","Nominal",2.0990441410162,2.09930935806052,-0.0265217044323585,0.00727223231674647,2000000,2.0990441410162,-0.0265217044323585,0
1,1,-1,9,2.75,"Above the bound",0.5,12,"1y","Nominal",3.22679460913616,3.226839392612,-0.00447834758356969,0.00223046401129474,2000000,3.22679460913616,-0.00447834758356969,0
-1,-1,0,10,-0.25,"Below the bound",0.5,12,"1y","Nominal",0.425804678447584,0.426949723819084,-0.114504537150023,0.0241724687564307,2000000,0.425804678447584,-0.114504537150023,0
0,-1,0,11,1,"Near the bound",0.5,12,"1y","Nominal",1.17509325779161,1.17579846360341,-0.0705205811799559,0.0177948840850144,2000000,1.17509325779161,-0.0705205811799559,0
1,-1,0,12,2.25,"Above the bound",0.5,12,"1y","Nominal",2.20631262037605,2.20657944144903,-0.0266821072979262,0.00792071660935364,2000000,2.20631262037605,-0.0266821072979262,0
-1,0,0,13,0.75,"Near the bound",0.5,12,"1y","Nominal",1.03076245075646,1.03156887196692,-0.080642121045571,0.0193601655544885,2000000,1.03076245075646,-0.080642121045571,0
0,0,0,14,2,"Above the bound",0.5,12,"1y","Nominal",2.03570249755962,2.03602061623945,-0.0318118679826451,0.00902492603028523,2000000,2.03570249755962,-0.0318118679826451,0
1,0,0,15,3.25,"Above the bound",0.5,12,"1y","Nominal",3.15366195407531,3.15373369194738,-0.00717378720658246,0.00312678318791117,2000000,3.15366195407531,-0.00717378720658246,0
-1,1,0,16,1.75,"Above the bound",0.5,12,"1y","Nominal",1.86724290068935,1.86761936194268,-0.0376461253328797,0.0102533509087276,2000000,1.86724290068935,-0.0376461253328797,0
0,1,0,17,3,"Above the bound",0.5,12,"1y","Nominal",2.97663417920516,2.97672664863062,-0.00924694254638148,0.00364162570072492,2000000,2.97663417920516,-0.00924694254638148,0
1,1,0,18,4.25,"Above the bound",0.5,12,"1y","Nominal",4.12119623943258,4.1212094238514,-0.00131844188233643,0.00105008270364853,2000000,4.12119623943258,-0.00131844188233643,0
-1,-1,1,19,1.25,"Above the bound",0.5,12,"1y","Nominal",1.00263072187334,1.00342801628287,-0.0797294409530469,0.0209368573580393,2000000,1.00263072187334,-0.0797294409530469,0
0,-1,1,20,2.5,"Above the bound",0.5,12,"1y","Nominal",1.97976088245078,1.98012854851866,-0.0367666067878858,0.0111215361765624,2000000,1.97976088245078,-0.0367666067878858,0
