"series","mean","standard_deviation","minimum","maximum","observations"
"nominal_tp_5y",0.877492512098506,1.06322240207163,-1.4492040110121,4.29515577888226,695
"nominal_tp_10y",1.22578709351716,1.1042813617522,-1.19312632885377,4.03673570714956,695
"nominal_tp_10y_acm",1.61837657005672,1.36834804900952,-1.359991115,5.21175337,670
"nominal_tp_10y_kw",0.836087228915662,0.756708052341864,-0.6471,2.5127,415
"nominal_tp_10y_survey",0.752782415658374,0.912413495810812,-0.735936846241198,2.68602461785521,35
"real_tp_5y",0.864251211961504,0.708906922277264,-0.550771498603578,3.39421275748282,695
"real_tp_10y",1.03018813482062,0.727701329453668,-0.374628181520339,2.96323947667109,695
"real_tp_10y_dkw",0.916732062158255,0.782878493793564,-0.488099992275238,3.26309990882874,499
"real_tp_10y_survey",0.803599948987297,0.732951688492731,-0.723536837577819,2.29321049224452,35
"inflation_rp_5y",0.0471112530535865,0.381363297958246,-1.18186535118707,0.941765148291801,695
"inflation_rp_10y",0.320716779329096,0.405318171476519,-1.01240983802083,1.21303975547049,695
"inflation_rp_10y_dkw",0.142537684543785,0.214971426859298,-0.239300012588501,0.768500328063965,499
"inflation_rp_10y_survey",-0.08683186716922,0.516770511229359,-1.72556111000909,1.71934018059123,140
